Date_Time_PH,Latitude,Longitude,Depth_In_Km,Magnitude,Location,Specific_Location,General_Location
30/10/2025 2:16,10.99,123.95,3,2.8,007 km S 23° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 2:16,11.02,123.99,14,2.8,003 km S 15° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 2:02,11.11,124.02,27,2.3,008 km N 35° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 2:02,11.05,124.08,6,2.3,011 km N 88° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 1:18,10.9,123.83,11,2,023 km S 45° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 1:18,10.99,123.84,31,1.9,016 km S 68° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 0:25,11.15,124.18,6,2.4,025 km N 61° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
30/10/2025 0:25,11.18,124.15,11,2.4,024 km N 53° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 23:42,11.11,124.09,8,2.3,014 km N 59° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 23:42,11.13,124.07,7,2.5,014 km N 50° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:39,11.17,124.04,33,1.5,015 km N 26° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:12,10.9,123.82,5,3.9,022 km S 47° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:12,10.92,123.81,5,3.6,023 km S 52° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:07,11.03,124.03,1,3.6,006 km S 74° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:07,11.02,124.03,5,3.6,006 km S 65° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:01,10.91,123.97,4,2.7,015 km S 03° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 22:01,11.1,123.93,28,2.6,008 km N 44° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 21:49,11.01,124,6,1.8,004 km S 26° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 21:47,11.06,124.05,4,2.4,008 km N 80° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 21:47,11.1,124.09,16,2.4,013 km N 64° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 21:30,11.16,124.13,8,1.9,021 km N 53° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 20:52,11,124.03,27,1.9,008 km S 43° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 20:52,11.14,124.02,32,2,012 km N 24° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 20:51,11.11,124.16,7,1.5,020 km N 70° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 19:30,11.38,124.03,33,1.3,037 km N 09° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 19:21,11.07,124.06,3,2.4,009 km N 73° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 19:21,11.22,124.12,13,2.3,025 km N 39° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 18:21,11.02,123.99,15,2.5,004 km S 21° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 18:21,10.98,123.95,1,2.5,008 km S 22° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 17:48,11.12,124.1,34,2,015 km N 59° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 17:48,10.9,123.96,1,2.1,016 km S 09° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 16:15,11.01,124.07,2,2,011 km S 68° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 16:15,11.05,124.08,3,2,011 km N 87° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 16:01,10.88,123.92,2,2.4,019 km S 19° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 16:01,10.89,123.93,2,2.6,018 km S 18° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 14:25,10.92,123.93,3,2,015 km S 22° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 14:25,10.9,123.98,1,2,016 km South of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 8:26,10.88,123.7,23,2,036 km S 59° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 6:03,11.19,124.04,33,1.6,017 km N 21° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 5:57,11.03,124.06,4,2.4,009 km S 79° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 5:57,11.05,124.06,1,2.4,009 km N 86° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 5:19,11.05,124.07,2,2.6,010 km N 89° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 5:19,11.05,124.07,3,2.6,010 km N 89° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:34,10.97,123.94,6,2.5,009 km S 27° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:34,10.98,123.92,5,2,010 km S 42° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:21,11.11,123.98,18,1.4,007 km N 01° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:21,11.15,123.96,26,1.4,012 km N 12° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:17,11.08,124.06,4,2,009 km N 70° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 4:17,11.23,124.18,5,2.2,030 km N 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 3:47,11,124.03,6,3.3,007 km S 45° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 3:47,11.02,124.03,6,3.4,007 km S 58° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 3:20,10.94,124,16,2.4,012 km S 09° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 3:20,10.92,123.91,1,2,016 km S 29° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 1:19,11.07,123.96,21,1.8,003 km N 34° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 1:19,11.06,123.98,24,1.8,001 km N 11° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 0:15,11.23,123.91,5,1.8,022 km N 20° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
29/10/2025 0:15,11.21,123.91,7,1.9,020 km N 24° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:32,10.92,123.91,5,2.4,017 km S 29° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:32,11.06,123.9,25,2.5,009 km N 78° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:27,11,124.07,35,1.6,012 km S 64° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:27,11,124.08,33,1.6,012 km S 67° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:17,10.87,123.95,7,2.6,020 km S 09° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 22:17,10.94,123.96,19,2.6,012 km S 12° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 21:49,11.15,124.02,31,2.4,012 km N 21° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 21:49,11.09,123.94,25,2.4,007 km N 42° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 20:48,11.14,124.2,1,2.3,026 km N 67° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 20:48,11.18,124.18,8,2.2,026 km N 56° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 20:27,10.93,123.97,1,2.3,013 km S 03° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 20:27,10.95,124.03,6,2.2,012 km S 26° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 19:08,11.08,124.09,26,1.8,013 km N 74° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 19:08,11.1,124.01,30,1.7,012 km N 25° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 19:05,11.15,124.12,14,1.7,020 km N 53° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 19:05,11.14,124.15,11,1.7,022 km N 61° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 14:54,11.04,123.96,2,2.6,002 km S 75° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 14:54,11.02,123.99,6,2.6,004 km S 18° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 9:09,11.18,124.15,12,2.1,024 km N 50° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 8:08,11.05,123.98,27,2,001 km N 45° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 8:04,11.07,124,31,2.3,004 km N 39° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 8:04,11.14,124.07,26,2,015 km N 44° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 5:36,11.11,123.97,29,2.1,007 km N 10° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 5:36,10.99,124.03,2,2.5,009 km S 38° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 5:18,11.09,124.04,31,1.8,009 km N 53° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
28/10/2025 5:18,10.9,123.89,2,1.8,019 km S 33° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
